epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,697.342,0.64762,1.79845,0.9889,0.707,0.15918,0.15763,0.13028,0.73444,1.70036,0.96452,0.00033262,0.00033262,0.00033262
2,1986.56,0.60885,0.95841,0.94426,0.79782,0.07134,0.07832,0.0714,0.48205,0.59553,0.85206,0.000652767,0.000652767,0.000652767
